Datetime,Open,High,Low,Close,Volume
2022-11-02T00:00:00Z,1578.35083502,1621.36663044,1502.18339196,1518.96053511,2683271.143540146
2022-11-01T00:00:00Z,1572.67288857,1613.58000338,1563.28594973,1578.23679542,1407090.4594054623
2022-10-31T00:00:00Z,1590.89508808,1635.61443498,1545.95470152,1573.23728032,2148111.904932339
2022-10-30T00:00:00Z,1620.73568951,1640.35887809,1576.76474952,1590.86970553,1225564.0431439613
2022-10-29T00:00:00Z,1554.87074892,1664.18845182,1548.25031613,1620.24818208,2184947.9876411753
2022-10-28T00:00:00Z,1514.23437948,1576.00826276,1480.16869305,1554.92580846,2241469.2927013934
2022-10-27T00:00:00Z,1566.47502974,1579.46239733,1503.40387875,1514.20332472,2631752.6712101707
2022-10-26T00:00:00Z,1460.21532381,1595.47004116,1457.82488657,1566.89837867,3428601.435821182
2022-10-25T00:00:00Z,1343.87471263,1525.72717201,1335.05494867,1460.21161362,3147278.017572031
2022-10-24T00:00:00Z,1364.40189925,1370.92076341,1324.06707025,1343.8161655,1458374.3539089155
2022-10-23T00:00:00Z,1314.05882501,1371.36176662,1299.39457688,1364.38474028,974225.1283825743
2022-10-22T00:00:00Z,1299.80341323,1320.1734825,1294.27128126,1313.88211317,490410.5171716761
2022-10-21T00:00:00Z,1282.58542109,1307.30659561,1253.10792743,1299.83720696,1210181.0785400725
2022-10-20T00:00:00Z,1285.14298507,1310.9469636,1270.41510341,1282.86753217,1151375.4652665216
2022-10-19T00:00:00Z,1310.75296674,1313.79628375,1280.30160555,1284.8889064,984479.6456463282
2022-10-18T00:00:00Z,1331.49888433,1341.93362121,1286.69282564,1310.85104868,1400747.110139848
2022-10-17T00:00:00Z,1305.87078166,1338.68863052,1295.45984047,1331.48247459,1132871.3269324403
2022-10-16T00:00:00Z,1274.98927982,1315.50698347,1274.60947061,1305.95207629,701524.7389096778
2022-10-15T00:00:00Z,1296.32032657,1301.87794632,1263.58242321,1274.94013974,665372.3496216015
2022-10-14T00:00:00Z,1286.99139793,1343.57492246,1283.33550493,1296.47804527,1812089.1436834075
2022-10-13T00:00:00Z,1294.2294151,1301.75712044,1189.68039482,1287.02529103,2590028.14089653
2022-10-12T00:00:00Z,1279.94613622,1306.81833281,1275.02383902,1294.32231436,956524.2074831029
2022-10-11T00:00:00Z,1289.96058523,1298.07368261,1266.84856074,1279.94569496,1280073.026794215
2022-10-10T00:00:00Z,1323.30772177,1338.2693437,1287.43442935,1290.03402526,1055235.981867051
2022-10-09T00:00:00Z,1315.53121612,1329.20152297,1307.2906738,1323.36656436,450608.3891468891
2022-10-08T00:00:00Z,1331.24617468,1337.57031767,1303.70846851,1315.57278826,460804.25755260553
2022-10-07T00:00:00Z,1352.21329977,1361.9589249,1317.40655496,1331.15941126,1255123.4196669196
2022-10-06T00:00:00Z,1352.45787789,1384.30091341,1345.00342715,1352.25081764,1677606.9532511071
2022-10-05T00:00:00Z,1361.87638321,1364.9406464,1316.29003958,1352.48204583,1265863.757742477
2022-10-04T00:00:00Z,1323.29769456,1370.11914005,1318.76014566,1361.83905312,1324045.2685265637
2022-10-03T00:00:00Z,1276.81573259,1330.11450335,1262.95909178,1323.2884094,1433849.4161278212
2022-10-02T00:00:00Z,1311.87058476,1317.7896913,1269.50845563,1276.84749006,936888.5016903826
2022-10-01T00:00:00Z,1328.6685747,1334.03454668,1302.76519235,1311.89380868,616232.6554054894
2022-09-30T00:00:00Z,1336.01384534,1373.36053879,1313.26160801,1328.73325105,2133827.191598571
2022-09-29T00:00:00Z,1337.16923663,1352.03616308,1288.34259799,1336.01781454,1942095.3726990467
2022-09-28T00:00:00Z,1327.95176781,1355.70880358,1253.18186436,1337.07772028,2604247.8727934402
2022-09-27T00:00:00Z,1336.7418791,1400.24605705,1303.65694483,1328.15809863,2237058.429318574
2022-09-26T00:00:00Z,1294.53101516,1340.78203745,1278.34799075,1336.69321057,2316239.3794629606
2022-09-25T00:00:00Z,1317.48149537,1337.19775557,1269.30699409,1294.52725355,1202287.5149111515
2022-09-24T00:00:00Z,1327.30976696,1349.26170341,1306.51891366,1317.15355108,1160077.6828016937
2022-09-23T00:00:00Z,1326.50448299,1359.6086248,1262.00429781,1327.042973,2624398.647077885
2022-09-22T00:00:00Z,1245.66501392,1349.73252435,1237.24348545,1326.43281987,2603155.187025363
2022-09-21T00:00:00Z,1322.93590401,1411.93763713,1219.85614941,1245.70758286,3272016.616664371
2022-09-20T00:00:00Z,1376.03441675,1385.04179854,1312.60937993,1322.90862847,1880035.9589541743
2022-09-19T00:00:00Z,1334.59262291,1393.03813592,1280.12488862,1376.10375313,2367852.5081071984
2022-09-18T00:00:00Z,1469.03610964,1469.90087485,1324.91845916,1334.59747246,1958529.647360059
2022-09-17T00:00:00Z,1433.86667344,1476.07852085,1409.09186275,1468.99246604,1031676.7002576899
2022-09-16T00:00:00Z,1472.60634457,1483.62855608,1405.51303912,1433.86102084,1989207.604085674
2022-09-15T00:00:00Z,1638.80978245,1654.95515285,1456.26618055,1472.58118257,3858907.9613171318
2022-09-14T00:00:00Z,1574.45654676,1648.66627157,1552.63525507,1638.73022683,1977206.7405087573
2022-09-13T00:00:00Z,1716.68775619,1761.95980882,1560.83122338,1574.58193154,2888294.9118130025
2022-09-12T00:00:00Z,1766.6606774,1783.61068204,1693.08322709,1716.83339009,1711650.0942075339
2022-09-11T00:00:00Z,1774.64866217,1789.75811562,1720.08755989,1766.74362124,903210.9481740952
2022-09-10T00:00:00Z,1718.93542498,1789.74471065,1706.51886343,1774.59532455,970718.1178471593
2022-09-09T00:00:00Z,1635.51824986,1746.96044659,1630.50602798,1719.04429173,2037038.863888376
2022-09-08T00:00:00Z,1629.86030248,1664.05667431,1594.8580956,1635.58507434,1802554.9212653094
2022-09-07T00:00:00Z,1558.97692549,1657.80867171,1489.28271726,1630.00140211,2155051.719022883
2022-09-06T00:00:00Z,1617.81243369,1687.05042646,1553.8974209,1558.95989467,2633915.9008736173
2022-09-05T00:00:00Z,1579.21986945,1631.81245683,1556.9641893,1617.79326022,1186733.9662370293
2022-09-04T00:00:00Z,1557.49228527,1583.40102031,1540.57388182,1579.15329657,679662.8842677147
2022-09-03T00:00:00Z,1575.48475878,1582.83117054,1534.33741515,1557.52175623,788317.181684435
2022-09-02T00:00:00Z,1586.62519734,1649.60788095,1546.31176818,1575.34215638,2069857.1074331752
2022-09-01T00:00:00Z,1554.23267025,1599.40312871,1513.09576931,1586.60715029,1826498.7982525728
2022-08-31T00:00:00Z,1524.90634607,1619.76169411,1524.6518039,1554.16513014,2461610.8484544368
2022-08-30T00:00:00Z,1551.65657808,1606.65037507,1473.82613595,1524.65025049,2651407.734327675
2022-08-29T00:00:00Z,1426.62178597,1560.129576,1421.84340984,1551.8744482,2169026.7929874444
2022-08-28T00:00:00Z,1490.85865135,1511.20082764,1424.12199455,1426.93461196,1441775.3371158182
2022-08-27T00:00:00Z,1508.52531725,1518.76255978,1447.08148492,1491.07252789,1952283.7603322056
2022-08-26T00:00:00Z,1695.06500588,1706.35274141,1486.64506424,1508.38598827,3129032.117017522
2022-08-25T00:00:00Z,1656.59604128,1722.28560208,1653.77774798,1695.01467843,1424062.1635528516
2022-08-24T00:00:00Z,1665.547663,1694.36014397,1605.06797668,1656.64871699,1925273.2641969188
2022-08-23T00:00:00Z,1624.58089842,1675.54137298,1563.37495956,1665.66789842,2178569.9802471083
2022-08-22T00:00:00Z,1617.95399981,1629.41896858,1529.63539155,1624.6603077,2349583.303525657
2022-08-21T00:00:00Z,1575.85976388,1646.4996303,1562.44321587,1617.95485782,1843782.004173232
2022-08-20T00:00:00Z,1608.96718819,1657.10621694,1523.54278793,1575.86021317,2178270.015345501
2022-08-19T00:00:00Z,1846.38740099,1848.20744817,1602.9906761,1608.96297802,3580556.567636326
2022-08-18T00:00:00Z,1834.18078926,1882.7096869,1812.02997637,1846.33541723,1401681.621186421
2022-08-17T00:00:00Z,1876.94747572,1957.78218456,1811.56408584,1834.06871579,2325414.770390941
2022-08-16T00:00:00Z,1899.05793061,1915.40232621,1852.68645919,1876.84477907,1613041.3421397011
2022-08-15T00:00:00Z,1936.05487736,2013.23545502,1870.05752638,1899.41842352,2216912.430576701
2022-08-14T00:00:00Z,1984.19319621,2030.99262666,1906.63886588,1935.77184381,1317045.5727099176
2022-08-13T00:00:00Z,1959.40010543,2020.56537006,1947.31186729,1984.39556451,1599242.335866701
2022-08-12T00:00:00Z,1881.0286234,1965.89581934,1853.63743892,1959.44200416,1648950.147219802
2022-08-11T00:00:00Z,1853.93809377,1950.49705526,1851.02561146,1881.06595277,2660799.329209171
2022-08-10T00:00:00Z,1703.03912426,1885.66056138,1656.43518931,1854.24208312,2937976.113368259
2022-08-09T00:00:00Z,1777.38119888,1791.04940436,1669.35189548,1703.15106947,1921527.663219415
2022-08-08T00:00:00Z,1700.41720875,1818.40995973,1693.9066664,1777.47084392,1935244.0543320633
2022-08-07T00:00:00Z,1690.79275385,1729.51137157,1668.10946704,1700.49697745,1025606.7462503163
2022-08-06T00:00:00Z,1736.78503728,1749.59802378,1685.30006584,1690.72930269,1308801.336084964
2022-08-05T00:00:00Z,1608.12206078,1742.16328522,1605.59925364,1736.59727828,2445627.861811955
2022-08-04T00:00:00Z,1618.36298489,1662.83668808,1580.57501675,1608.12423768,1830479.6072583508
2022-08-03T00:00:00Z,1631.05936107,1685.16222496,1589.65320866,1618.53083018,1846257.173959575
2022-08-02T00:00:00Z,1630.42071111,1678.66841471,1559.15962128,1630.97560311,2407145.538010373
2022-08-01T00:00:00Z,1678.67899018,1705.17387031,1606.36838409,1630.38458485,1782308.19176546
2022-07-31T00:00:00Z,1697.57249715,1755.03380536,1666.77907334,1678.4843785,1477742.5399735721
2022-07-30T00:00:00Z,1722.26829462,1745.19890496,1673.6897869,1697.49469504,1672826.6685267931
2022-07-29T00:00:00Z,1724.80306602,1766.45587775,1656.16789974,1722.16132727,2784336.634225194
2022-07-28T00:00:00Z,1636.3433051,1786.66925892,1594.32091947,1724.89427539,3615618.2854976137
2022-07-27T00:00:00Z,1449.3037801,1645.19171754,1420.90628387,1636.4513596,3298720.1833789954
2022-07-26T00:00:00Z,1440.64757632,1454.48498792,1356.12725315,1449.33424715,2398937.934072455
2022-07-25T00:00:00Z,1597.94917185,1609.68478287,1435.40825127,1440.55744304,2615015.166404541
2022-07-24T00:00:00Z,1548.71962111,1664.7012447,1545.90606415,1598.07873953,1884217.7572419958
2022-07-23T00:00:00Z,1535.37337926,1596.72294327,1487.30142818,1548.98218602,1658456.8883911802
2022-07-22T00:00:00Z,1575.51448553,1648.80655495,1516.66520268,1535.56243593,2410203.1139909653
2022-07-21T00:00:00Z,1521.74159021,1606.31758863,1463.60602148,1575.66588477,2587627.533654194
2022-07-20T00:00:00Z,1542.31257702,1621.01221504,1484.40112536,1521.81727829,3025213.550507837
2022-07-19T00:00:00Z,1580.93358039,1631.18324306,1492.62636049,1542.28500136,3800113.433228447
2022-07-18T00:00:00Z,1338.36478153,1597.15399169,1335.3756858,1580.86988059,4283420.244186348
2022-07-17T00:00:00Z,1355.80248291,1387.15623091,1318.62449612,1338.32780592,2357760.405915279
2022-07-16T00:00:00Z,1230.87495546,1426.69173273,1191.09102152,1355.68840302,2988604.0088672927
2022-07-15T00:00:00Z,1192.58980379,1288.21168023,1180.52873881,1230.95064155,3065332.862304569
2022-07-14T00:00:00Z,1114.13203383,1214.07556847,1071.08244474,1192.90387999,3049195.995326105
2022-07-13T00:00:00Z,1037.50280832,1118.31456778,1005.7148245,1114.05306037,4091202.5338049713
2022-07-12T00:00:00Z,1095.41976992,1097.25616475,1031.30822658,1037.53904384,2436783.980089764
2022-07-11T00:00:00Z,1168.03534504,1171.10979052,1085.26165334,1095.66644711,2080416.4998508543
2022-07-10T00:00:00Z,1216.43135262,1219.19697888,1152.5272082,1168.03159022,1711091.1977975203
2022-07-09T00:00:00Z,1213.35925818,1234.36702085,1203.8959072,1216.3347921,1109298.3943084888
2022-07-08T00:00:00Z,1236.66693835,1275.53161461,1192.50592322,1213.43402898,2582921.0879233656
2022-07-07T00:00:00Z,1185.29508022,1253.65124721,1161.53692023,1236.51346661,2171116.2961914623
2022-07-06T00:00:00Z,1131.40904179,1203.74245787,1110.32464478,1185.49445896,2475377.0771909165
2022-07-05T00:00:00Z,1149.90790265,1173.30864111,1075.56667549,1131.31619395,2671803.974964506
2022-07-04T00:00:00Z,1072.9043223,1159.51209051,1043.84122252,1149.72236682,2335859.7368592727
2022-07-03T00:00:00Z,1065.76421949,1086.8602568,1039.38507804,1073.46771058,1264081.8691848111
2022-07-02T00:00:00Z,1058.55272141,1078.65115178,1027.16437277,1065.63934732,1542874.7614059485
2022-07-01T00:00:00Z,1069.92242761,1116.03498708,1032.25026304,1058.26915147,3316497.7344001886
2022-06-30T00:00:00Z,1098.91316566,1105.3373491,996.73175202,1069.99199663,3337580.301655418
2022-06-29T00:00:00Z,1142.8729391,1155.55231318,1086.85157007,1098.88304348,2756234.2710986873
2022-06-28T00:00:00Z,1191.19245185,1237.01174003,1134.98845737,1142.96690591,2322494.9264131817
2022-06-27T00:00:00Z,1197.32545919,1238.13967799,1172.87768916,1191.10004565,1902708.9985652436
2022-06-26T00:00:00Z,1241.66377291,1279.57606194,1194.83172698,1197.15882145,1880551.3232971716
2022-06-25T00:00:00Z,1224.19278174,1256.00034485,1179.14162786,1241.28873455,1765639.103675898
2022-06-24T00:00:00Z,1143.50619976,1244.54674002,1130.42343969,1224.26474356,2829767.8047886556
2022-06-23T00:00:00Z,1049.03784588,1153.41203754,1043.8421016,1143.77294708,2599899.050714421
2022-06-22T00:00:00Z,1124.90761732,1126.21399527,1042.34549614,1048.88595593,2764000.7215137463
2022-06-21T00:00:00Z,1127.11512327,1192.9027537,1107.94322573,1124.88625003,2785944.6251596436
2022-06-20T00:00:00Z,1127.08066622,1168.77581405,1051.57482038,1127.08536999,3512474.1200246327
2022-06-19T00:00:00Z,993.62849883,1157.54753198,934.86864147,1126.97666182,4235134.135053639
2022-06-18T00:00:00Z,1085.38578958,1095.64662378,879.99470162,993.76901879,4984352.955734939
2022-06-17T00:00:00Z,1067.22038882,1116.89783638,1049.36305682,1085.37361913,2577174.4412905797
2022-06-16T00:00:00Z,1236.36932444,1256.70340064,1050.60934168,1067.11295343,3433514.208611373
2022-06-15T00:00:00Z,1207.5157,1249.04094793,1012.40179991,1236.62849134,7356509.622833216
2022-06-14T00:00:00Z,1207.87534411,1267.760716,1074.70293017,1207.86369286,5978928.922273488
2022-06-13T00:00:00Z,1433.46116685,1454.90497947,1163.22625127,1208.09739503,8354330.003829644
2022-06-12T00:00:00Z,1531.41668545,1545.11058098,1423.31233637,1433.72765487,2930682.3777026827
2022-06-11T00:00:00Z,1661.6843083,1680.96464494,1499.32016161,1531.12685698,2481269.961401191
2022-06-10T00:00:00Z,1787.78374697,1804.28111322,1654.00191646,1661.32511392,1954342.5277105104
2022-06-09T00:00:00Z,1791.6653999,1833.55797636,1776.532961,1787.27657638,1001845.9997063095
2022-06-08T00:00:00Z,1813.17099477,1838.3324505,1764.46264182,1792.37322226,1644142.503139061
2022-06-07T00:00:00Z,1858.51971425,1873.96473244,1723.96736222,1813.51783691,2504633.146429855
2022-06-06T00:00:00Z,1804.86265241,1918.648096,1802.71454512,1858.44749737,1537623.3982825158
2022-06-05T00:00:00Z,1803.60917901,1829.49141417,1771.03098493,1804.72695698,685474.4051933688
2022-06-04T00:00:00Z,1774.43942937,1815.20070832,1746.8853904,1803.08323458,694002.2948096509
2022-06-03T00:00:00Z,1833.29773226,1842.81663207,1735.28320412,1773.43588641,1536959.2268670737
2022-06-02T00:00:00Z,1819.03522356,1853.45219434,1781.16095512,1834.5082941,1598908.4770800422
2022-06-01T00:00:00Z,1941.16286186,1972.35511708,1761.50088748,1818.30789583,2212209.6742098276
2022-05-31T00:00:00Z,1998.01987878,2015.33528433,1924.35058321,1942.27773237,1637797.4687416481
2022-05-30T00:00:00Z,1812.98128984,2011.89033457,1801.91197688,1998.39401073,1816717.263919121
2022-05-29T00:00:00Z,1791.25393005,1825.80624451,1759.06311888,1812.93706315,914744.2548293439
2022-05-28T00:00:00Z,1725.88546109,1807.74116648,1705.78101755,1791.26070985,1110623.3389672535
2022-05-27T00:00:00Z,1790.85485425,1821.35881833,1701.87574986,1725.86788849,2742159.4236425175
2022-05-26T00:00:00Z,1941.24102349,1963.84148446,1732.8031494,1790.38421566,2546333.301517408
2022-05-25T00:00:00Z,1977.28938075,2020.16985579,1932.22331274,1941.13304987,1147067.9176263646
2022-05-24T00:00:00Z,1971.82973652,1992.19738387,1910.52159555,1977.38881023,1117649.1838986764
2022-05-23T00:00:00Z,2042.15292377,2086.80494691,1955.08743262,1971.11498494,1327446.90899324
2022-05-22T00:00:00Z,1973.58991637,2054.84190931,1964.43979821,2042.04107827,732865.957668071
2022-05-21T00:00:00Z,1956.89970161,1989.14191187,1935.10318274,1973.02257202,502976.62251713243
2022-05-20T00:00:00Z,2018.65949625,2078.76436411,1920.78973856,1956.93923225,1324838.6143817198
2022-05-19T00:00:00Z,1912.59934056,2038.63512476,1900.54511533,2018.32463253,1581655.3972935984
2022-05-18T00:00:00Z,2088.48826686,2108.81578223,1905.58436748,1912.16591248,1380819.5091005065
2022-05-17T00:00:00Z,2021.67314868,2124.63655671,2005.43436363,2088.309346,1298389.048260277
2022-05-16T00:00:00Z,2142.71794653,2142.9003866,1977.00347193,2020.4011163,1299769.752207932
2022-05-15T00:00:00Z,2053.48266131,2164.92335679,1997.03404017,2143.22856669,463993.92886238196
2022-05-14T00:00:00Z,2006.36105978,2066.74414714,1944.53014878,2053.23799867,586079.428451826
2022-05-13T00:00:00Z,1955.15458896,2146.85089227,1935.24134041,2005.90791359,1337344.5005784463
2022-05-12T00:00:00Z,2076.56261045,2187.32501535,1719.37501203,1954.88007618,3258268.739675396
2022-05-11T00:00:00Z,2341.2023894,2456.19161742,2000.40577551,2076.65141064,2929993.572177622
2022-05-10T00:00:00Z,2228.93121114,2457.1043206,2199.55046378,2341.1542591,1887585.2887035103
2022-05-09T00:00:00Z,2519.34648902,2529.54462876,2223.23451741,2228.99501598,2034181.0956838245
2022-05-08T00:00:00Z,2635.31298044,2641.90617972,2483.55467715,2519.31065941,780184.9306628346
2022-05-07T00:00:00Z,2692.99107128,2704.3755776,2586.81039619,2635.24415129,369376.4388101072
2022-05-06T00:00:00Z,2747.99607805,2757.57199752,2632.27238808,2692.35778864,786492.558896325
2022-05-05T00:00:00Z,2940.01431171,2953.85629334,2686.54688488,2747.47929545,782252.6674200821
2022-05-04T00:00:00Z,2780.74316895,2966.65766348,2770.57373192,2940.03630487,633007.3731433395
2022-05-03T00:00:00Z,2856.46514939,2861.70337736,2715.50681471,2780.5029691,431067.44928411633
2022-05-02T00:00:00Z,2825.26428846,2883.00861553,2777.92038169,2856.38247706,578006.9693687755
2022-05-01T00:00:00Z,2726.83640928,2848.84934818,2716.44171661,2824.8626931,368187.28245059523
2022-04-30T00:00:00Z,2817.18638908,2842.14853013,2714.85279271,2726.71617351,328861.6185149094
2022-04-29T00:00:00Z,2936.34999476,2946.73569354,2775.77946267,2816.92569084,573703.2547650798
2022-04-28T00:00:00Z,2889.65898238,2980.7575603,2854.23246254,2936.40366333,626909.6592042615
2022-04-27T00:00:00Z,2809.49863982,2921.02931525,2794.04343354,2889.57248025,539375.5174845909
2022-04-26T00:00:00Z,3007.61843737,3039.09033658,2766.28948208,2809.36166181,679301.8830391612
2022-04-25T00:00:00Z,2922.44034829,3026.63450613,2797.42459137,3007.58264351,1037513.9287310246
2022-04-24T00:00:00Z,2933.68136339,2967.97040366,2912.72212913,2921.88000384,452292.91669887793
2022-04-23T00:00:00Z,2962.75712812,2979.48944821,2915.85410004,2933.43080708,393417.3767773932
2022-04-22T00:00:00Z,2983.99320068,3034.57811395,2932.02543651,2962.60576559,922407.7305686271
2022-04-21T00:00:00Z,3076.79528277,3180.80854395,2916.63753878,2984.36465263,1130046.2046272878
2022-04-20T00:00:00Z,3102.41300884,3168.67907769,3036.75630161,3076.7304281,858158.6079201148
2022-04-19T00:00:00Z,3055.91352974,3131.55491181,3030.71061645,3102.4526195,736810.5535720318
2022-04-18T00:00:00Z,2987.94950498,3070.61556881,2882.48242689,3056.44267689,1174040.939452853
2022-04-17T00:00:00Z,3060.03800063,3083.35625824,2982.83023296,2987.45304156,516580.404928137
2022-04-16T00:00:00Z,3041.65729514,3086.72223343,3010.67324819,3059.89922224,389789.2323790533
